Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA
,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels
1,Arizona Diamondbacks,1998,2026,4510,2206,2304,.489,-98,5,2,1,7,656,2,20625,153772,39123,4827,.254,20927,4.29
2,Athletics,1901,2026,19514,9443,9984,.486,-541,17,15,9,29,2161,43,86189,661504,170237,14404,.257,89336,4.01
,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics
3,Atlanta Braves,1876,2026,22454,11238,11062,.504,176,23,18,4,30,2184,56,100422,768739,199581,15295,.260,98817,3.67
,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds
4,Baltimore Orioles,1901,2026,19554,9231,10213,.475,-982,10,7,3,16,2038,34,84455,664122,171245,14660,.258,89981,4.06
,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers
,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves
5,Boston Red Sox,1901,2026,19537,10075,9379,.518,696,10,14,9,26,1997,40,91220,668628,178314,14792,.267,87532,3.92
,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans
,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers
,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels,California Angels see Los Angeles Angels
6,Chicago Cubs,1876,2026,22494,11459,10874,.513,585,8,17,3,22,2297,46,103589,769690,201469,15497,.262,99899,3.70
,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings,Also played as Chicago Chicago Orphans Chicago Colts and Chicago White Stockings
7,Chicago White Sox,1901,2026,19546,9693,9750,.499,-57,6,6,3,11,1979,36,84918,661769,171682,12519,.259,85112,3.81
8,Cincinnati Reds,1882,2026,22076,11053,10884,.504,169,10,10,5,17,2202,38,99036,752110,195819,14534,.260,98314,3.77
,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati,Also played as Cincinnati Redlegs and Cincinnati
9,Cleveland Guardians,1901,2026,19551,9981,9479,.513,502,13,6,2,18,2037,37,88283,666127,176085,14109,.264,86057,3.83
,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland,Also played as Cleveland Indians Cleveland Naps Cleveland Napoleons Cleveland Blues and Cleveland
10,Colorado Rockies,1993,2026,5259,2394,2865,.455,-471,0,1,0,5,723,2,25858,180486,48613,5929,.269,28118,5.05
11,Detroit Tigers,1901,2026,19574,9795,9686,.503,109,7,11,4,18,1845,24,89829,667393,176161,14803,.264,89542,4.00
12,Houston Astros,1962,2026,10219,5132,5082,.502,50,14,5,2,18,1044,13,43606,346799,88357,8665,.255,42921,3.81
,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s,Also played as Houston Colt .45s
,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics,Kansas City Athletics see Oakland Athletics
13,Kansas City Royals,1969,2026,9072,4322,4748,.477,-426,8,4,2,10,1047,5,39645,310178,81360,7204,.262,41830,4.25
14,Los Angeles Angels,1961,2026,10379,5124,5252,.494,-128,9,1,1,10,1296,13,44909,352041,89912,9467,.255,45769,4.02
,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels,Also played as Los Angeles Angels of Anaheim Anaheim Angels and California Angels
15,Los Angeles Dodgers,1884,2026,21878,11574,10165,.532,1409,23,27,9,39,2013,56,98878,745374,194692,14404,.261,92409,3.53
,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms
16,Miami Marlins,1993,2026,5251,2421,2830,.461,-409,0,2,2,4,804,6,22135,178443,45424,4786,.255,24384,4.30
