Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA
,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs,Also played as Indianapolis ABCs/Detroit Stars and Indianapolis ABCs
61,Indianapolis Athletics,1937,1937,39,17,21,.447,-4,0,0,0,0,29,0,148,817,226,7,.277,148,4.94
62,Indianapolis Blues,1878,1878,63,24,36,.400,-12,0,0,0,0,13,0,293,2300,542,3,.236,328,2.32
63,Indianapolis Clowns,1943,1948,448,186,249,.428,-63,0,0,0,0,121,1,745,5877,1445,20,.246,974,4.56
,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns,Also played as Cincinnati-Indianapolis Clowns and Cincinnati Clowns
64,Indianapolis Hoosiers,1887,1889,398,146,249,.370,-103,0,0,0,0,42,1,2050,13870,3536,129,.255,2590,4.62
65,Indianapolis Hoosiers,1884,1884,110,29,78,.271,-49,0,0,0,0,35,0,462,3813,890,20,.233,755,4.20
66,Jacksonville Red Caps,1938,1942,182,70,110,.389,-40,0,0,0,0,78,0,458,3291,790,8,.240,506,4.28
,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears,Also played as Cleveland Bears
67,Kansas City Cowboys,1888,1889,271,98,171,.364,-73,0,0,0,0,44,1,1431,9535,2256,37,.237,1927,4.32
68,Kansas City Cowboys,1886,1886,126,30,91,.248,-61,0,0,0,0,17,0,494,4236,967,19,.228,872,4.85
69,Kansas City Cowboys,1884,1884,82,16,63,.203,-47,0,0,0,0,51,0,311,2802,557,6,.199,618,4.05
70,Kansas City Monarchs,1920,1948,1652,1054,580,.645,474,10,10,2,12,228,10,8532,50286,14317,558,.285,6215,3.37
71,Kansas City Packers,1914,1915,307,148,156,.487,-8,0,0,0,0,29,0,1191,10064,2575,67,.256,1234,3.11
72,Little Rock Grays,1932,1932,15,4,11,.267,-7,0,0,0,0,19,0,32,331,84,1,.254,49,3.81
73,Louisville Black Caps,1931,1932,92,29,61,.322,-32,0,0,0,0,50,1,191,1512,394,10,.261,242,4.59
,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox,Also played as Louisville White Sox
74,Louisville Colonels,1882,1899,2355,993,1320,.429,-327,0,1,0,0,284,6,12464,82256,21505,436,.261,14354,3.93
,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse,Also played as Louisville Eclipse
75,Louisville Grays,1876,1877,130,65,61,.516,4,0,0,0,0,25,0,619,4925,1300,15,.264,632,1.95
76,Memphis Red Sox,1924,1948,1349,549,775,.415,-226,1,1,0,1,246,5,3384,26926,6715,141,.249,4400,4.43
77,Milwaukee Bears,1923,1923,53,11,42,.208,-31,0,0,0,0,28,1,254,2097,539,19,.257,418,5.17
78,Milwaukee Brewers,1891,1891,36,21,15,.583,6,0,0,0,0,16,0,227,1271,332,13,.261,156,2.50
79,Milwaukee Brewers,1884,1884,12,8,4,.667,4,0,0,0,0,12,0,53,395,88,,.223,34,2.25
80,Milwaukee Grays,1878,1878,61,15,45,.250,-30,0,0,0,0,15,0,256,2212,552,2,.250,386,2.60
81,Monroe Monarchs,1932,1932,48,34,14,.708,20,0,0,0,0,24,1,268,1730,472,14,.273,160,2.66
82,Montgomery Grey Sox,1932,1932,47,22,24,.478,-2,0,0,0,0,18,0,126,794,200,1,.252,99,3.51
83,New York Black Yankees,1936,1948,496,142,342,.293,-200,0,0,0,0,206,3,1853,14489,3612,122,.249,2812,5.72
84,New York Cubans,1935,1948,469,226,234,.491,-8,1,1,1,3,147,5,2298,15873,4181,155,.263,2270,4.27
85,New York Giants,1890,1890,132,74,57,.565,17,0,0,0,0,17,5,1018,4913,1393,66,.284,875,4.17
86,New York Lincoln Giants,1923,1929,302,134,162,.453,-28,0,0,0,0,115,3,1980,11243,3284,203,.292,2113,5.48
87,New York Metropolitans,1883,1887,592,270,309,.466,-39,0,1,0,0,58,1,3140,20781,5100,88,.245,3375,3.73
88,New York Mutuals,1876,1876,57,21,35,.375,-14,0,0,0,0,24,0,260,2180,494,2,.227,412,2.94
89,Newark Browns,1932,1932,6,,6,.000,-6,0,0,0,0,16,0,17,124,21,2,.169,44,10.36
90,Newark Dodgers,1934,1935,93,32,59,.352,-27,0,0,0,0,43,1,442,2713,811,25,.299,592,6.83
91,Newark Eagles,1935,1948,737,399,327,.550,72,1,1,1,2,190,7,3518,21225,5767,372,.272,3186,4.36
,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles,Also played as Brooklyn Eagles
92,Newark Pepper,1914,1915,312,168,137,.551,31,0,1,0,0,41,2,1347,10273,2757,50,.268,1184,2.83
,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers,Also played as Indianapolis Hoosiers
93,Newark Stars,1926,1926,11,1,10,.091,-9,0,0,0,0,20,0,38,282,64,1,.227,74,7.70
94,Philadelphia Athletic,1876,1876,60,14,45,.237,-31,0,0,0,0,21,0,378,2387,646,7,.271,534,3.22
,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics,Also played as Philadelphia Athletics
95,Philadelphia Athletics,1890,1891,275,141,129,.522,12,0,0,0,0,32,0,1758,9894,2651,104,.268,1649,4.03
96,Philadelphia Athletics,1882,1890,1076,560,498,.529,62,0,1,0,0,141,1,6664,38516,9907,229,.257,6331,3.64
97,Philadelphia Bacharach Giants,1934,1934,15,3,12,.200,-9,0,0,0,0,23,0,72,587,142,3,.242,104,5.81
98,Philadelphia Keystones,1884,1884,67,21,46,.313,-25,0,0,0,0,29,0,414,2518,618,7,.245,545,4.63
99,Philadelphia Stars,1934,1948,817,388,414,.484,-26,1,1,0,2,198,6,4369,27971,7595,276,.272,4493,4.64
100,Philadelphia Tigers,1928,1928,5,2,3,.400,-1,0,0,0,0,17,0,34,274,80,2,.292,77,8.07
101,Pittsburgh Burghers,1890,1890,131,60,68,.469,-8,0,0,0,0,17,3,849,4677,1212,35,.259,931,4.27
102,Pittsburgh Crawfords,1933,1940,427,229,187,.550,42,3,3,0,3,106,8,2148,13080,3665,192,.280,2005,4.51
,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords
103,Pittsburgh Keystones II,1922,1922,38,12,24,.333,-12,0,0,0,0,21,0,190,1204,342,10,.284,259,6.40
,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones,Also played as Pittsburgh Keystones
104,Pittsburgh Rebels,1914,1915,310,150,153,.495,-3,0,0,0,0,43,0,1197,10154,2657,54,.262,1222,3.18
105,Pollock's Cuban Stars,1932,1932,24,11,13,.458,-2,0,0,0,0,21,0,142,1086,285,7,.262,166,4.08
106,Providence Grays,1878,1885,725,438,278,.612,160,0,2,0,0,69,4,4037,26572,6764,98,.255,3128,2.18
107,Richmond Virginians,1884,1884,46,12,30,.286,-18,0,0,0,0,19,0,194,1469,326,7,.222,294,4.52
108,Rochester Broncos,1890,1890,133,63,63,.500,0,0,0,0,0,20,0,709,4553,1088,31,.239,711,3.56
109,St. Louis Brown Stockings,1876,1877,124,73,51,.589,22,0,0,0,0,21,0,670,4656,1173,3,.252,547,1.92
110,St. Louis Maroons,1884,1886,351,173,170,.504,3,0,1,0,0,52,0,1824,12293,3081,70,.251,1734,2.86
111,St. Louis Stars I,1920,1931,959,579,373,.608,206,3,3,0,4,124,4,6048,31432,9453,784,.301,4983,4.49
,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants,Also played as St. Louis Stars and St. Louis Giants
112,St. Louis Stars II,1937,1937,36,5,31,.139,-26,0,0,0,0,39,0,157,929,266,8,.286,264,8.39
,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars,Also played as St. Louis Stars
113,St. Louis Terriers,1914,1915,313,149,156,.489,-7,0,0,0,0,34,2,1199,10223,2598,49,.254,1224,3.15
114,St. Louis-New Orleans-Harrisburg Stars,1938,1943,190,87,97,.473,-10,0,0,0,1,67,0,533,3762,919,28,.244,629,4.49
,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs,Also played as Harrisburg-St. Louis Stars St. Louis-New Orleans Stars St. Louis Stars and Indianapolis ABCs
115,St. Paul Apostles,1884,1884,9,2,6,.250,-4,0,0,0,0,11,0,24,272,49,,.180,57,3.17
,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps,Also played as St. Paul White Caps
116,Syracuse Stars,1890,1890,128,55,72,.433,-17,0,0,0,0,30,0,698,4469,1158,14,.259,831,4.98
117,Syracuse Stars,1879,1879,71,22,48,.314,-26,0,0,0,0,18,0,276,2611,592,5,.227,462,3.19
118,Toledo Blue Stockings,1884,1884,110,46,58,.442,-12,0,0,0,0,21,1,463,3712,859,8,.231,571,3.06
119,Toledo Maumees,1890,1890,134,68,64,.515,4,0,0,0,0,20,0,739,4575,1152,24,.252,689,3.56
120,Toledo Tigers,1923,1923,27,10,17,.370,-7,0,0,0,0,31,0,152,939,265,14,.282,195,6.03
121,Troy Trojans,1879,1882,330,134,191,.412,-57,0,0,0,0,44,5,1542,11951,2929,26,.245,1930,2.90
122,Washington Black Senators,1938,1938,21,1,18,.053,-17,0,0,0,0,24,0,60,494,134,2,.271,139,8.49
123,Washington Nationals,1886,1889,514,163,337,.326,-174,0,0,0,0,76,2,2160,17337,3944,125,.227,3239,4.16
124,Washington Nationals,1884,1884,114,47,65,.420,-18,0,0,0,0,51,0,572,3926,931,4,.237,679,3.43
125,Washington Pilots,1932,1932,35,13,22,.371,-9,0,0,0,0,31,1,310,1962,564,19,.287,342,4.89
126,Washington Potomacs,1924,1925,90,29,58,.333,-29,0,0,0,0,41,1,513,3372,928,41,.275,659,5.44
,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs,Also played as Wilmington Potomacs
127,Washington Senators,1891,1899,1265,454,788,.366,-334,0,0,0,0,187,2,6912,43645,11886,357,.272,8777,4.72
,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen,Also played as Washington Statesmen
128,Washington Statesmen,1884,1884,63,12,51,.190,-39,0,0,0,0,25,0,248,2166,434,6,.200,481,4.01
,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals,Also played as Washington Nationals
129,Wilmington Quicksteps,1884,1884,18,2,16,.111,-14,0,0,0,0,20,0,35,521,91,2,.175,114,3.04
130,Worcester Ruby Legs,1880,1882,252,90,159,.361,-69,0,0,0,0,46,1,1201,9101,2169,31,.238,1514,3.18